GrandPrix,Driver,LapNumber,Compound,TyreLife,TrackTemp,LapTime_Seconds
Bahrain,VER,2.0,SOFT,5.0,23.652866242038222,96.296
Bahrain,VER,3.0,SOFT,6.0,23.652866242038222,96.753
Bahrain,VER,4.0,SOFT,7.0,23.652866242038222,96.647
Bahrain,VER,5.0,SOFT,8.0,23.652866242038222,97.173
Bahrain,VER,6.0,SOFT,9.0,23.652866242038222,97.092
Bahrain,VER,7.0,SOFT,10.0,23.652866242038222,97.038
Bahrain,VER,8.0,SOFT,11.0,23.652866242038222,97.024
Bahrain,VER,9.0,SOFT,12.0,23.652866242038222,97.229
Bahrain,VER,12.0,SOFT,15.0,23.652866242038222,97.045
Bahrain,VER,13.0,SOFT,16.0,23.652866242038222,97.03
Bahrain,VER,14.0,SOFT,17.0,23.652866242038222,97.028
Bahrain,VER,15.0,SOFT,18.0,23.652866242038222,97.011
Bahrain,VER,16.0,SOFT,19.0,23.652866242038222,97.168
Bahrain,VER,17.0,SOFT,20.0,23.652866242038222,99.896
Bahrain,VER,18.0,HARD,1.0,23.652866242038222,117.854
Bahrain,VER,19.0,HARD,2.0,23.652866242038222,95.283
Bahrain,VER,20.0,HARD,3.0,23.652866242038222,95.16
Bahrain,VER,21.0,HARD,4.0,23.652866242038222,95.316
Bahrain,VER,22.0,HARD,5.0,23.652866242038222,95.204
Bahrain,VER,23.0,HARD,6.0,23.652866242038222,95.216
Bahrain,VER,24.0,HARD,7.0,23.652866242038222,95.289
Bahrain,VER,25.0,HARD,8.0,23.652866242038222,95.342
Bahrain,VER,26.0,HARD,9.0,23.652866242038222,95.223
Bahrain,VER,27.0,HARD,10.0,23.652866242038222,95.581
Bahrain,VER,28.0,HARD,11.0,23.652866242038222,95.477
Bahrain,VER,29.0,HARD,12.0,23.652866242038222,95.793
Bahrain,VER,30.0,HARD,13.0,23.652866242038222,95.771
Bahrain,VER,31.0,HARD,14.0,23.652866242038222,95.679
Bahrain,VER,32.0,HARD,15.0,23.652866242038222,95.886
Bahrain,VER,33.0,HARD,16.0,23.652866242038222,95.863
Bahrain,VER,34.0,HARD,17.0,23.652866242038222,96.133
Bahrain,VER,35.0,HARD,18.0,23.652866242038222,96.018
Bahrain,VER,36.0,HARD,19.0,23.652866242038222,96.205
Bahrain,VER,37.0,HARD,20.0,23.652866242038222,99.234
Bahrain,VER,38.0,SOFT,1.0,23.652866242038222,116.445
Bahrain,VER,39.0,SOFT,2.0,23.652866242038222,92.608
Bahrain,VER,40.0,SOFT,3.0,23.652866242038222,96.589
Bahrain,VER,41.0,SOFT,4.0,23.652866242038222,95.29
Bahrain,VER,42.0,SOFT,5.0,23.652866242038222,94.667
Bahrain,VER,43.0,SOFT,6.0,23.652866242038222,94.151
Bahrain,VER,44.0,SOFT,7.0,23.652866242038222,94.531
Bahrain,VER,45.0,SOFT,8.0,23.652866242038222,94.249
Bahrain,VER,46.0,SOFT,9.0,23.652866242038222,94.193
Bahrain,VER,47.0,SOFT,10.0,23.652866242038222,94.239
Bahrain,VER,48.0,SOFT,11.0,23.652866242038222,94.35
Bahrain,VER,49.0,SOFT,12.0,23.652866242038222,94.403
Bahrain,VER,50.0,SOFT,13.0,23.652866242038222,94.783
Bahrain,VER,51.0,SOFT,14.0,23.652866242038222,94.34
Bahrain,VER,52.0,SOFT,15.0,23.652866242038222,94.906
Bahrain,VER,53.0,SOFT,16.0,23.652866242038222,95.6
Bahrain,VER,54.0,SOFT,17.0,23.652866242038222,95.334
Bahrain,VER,55.0,SOFT,18.0,23.652866242038222,95.184
Bahrain,VER,56.0,SOFT,19.0,23.652866242038222,94.671
Bahrain,VER,57.0,SOFT,20.0,23.652866242038222,94.923
Bahrain,PER,2.0,SOFT,5.0,23.652866242038222,96.541
Bahrain,PER,3.0,SOFT,6.0,23.652866242038222,97.297
Bahrain,PER,4.0,SOFT,7.0,23.652866242038222,97.722
Bahrain,PER,5.0,SOFT,8.0,23.652866242038222,98.044
Bahrain,PER,6.0,SOFT,9.0,23.652866242038222,97.823
Bahrain,PER,7.0,SOFT,10.0,23.652866242038222,97.821
Bahrain,PER,8.0,SOFT,11.0,23.652866242038222,97.838
Bahrain,PER,9.0,SOFT,12.0,23.652866242038222,97.596
Bahrain,PER,11.0,SOFT,14.0,23.652866242038222,97.836
Bahrain,PER,12.0,SOFT,15.0,23.652866242038222,100.277
Bahrain,PER,13.0,HARD,1.0,23.652866242038222,117.624
Bahrain,PER,14.0,HARD,2.0,23.652866242038222,95.606
Bahrain,PER,15.0,HARD,3.0,23.652866242038222,96.815
Bahrain,PER,16.0,HARD,4.0,23.652866242038222,95.783
Bahrain,PER,17.0,HARD,5.0,23.652866242038222,96.454
Bahrain,PER,18.0,HARD,6.0,23.652866242038222,96.311
Bahrain,PER,19.0,HARD,7.0,23.652866242038222,96.038
Bahrain,PER,20.0,HARD,8.0,23.652866242038222,96.278
Bahrain,PER,21.0,HARD,9.0,23.652866242038222,96.165
Bahrain,PER,22.0,HARD,10.0,23.652866242038222,96.037
Bahrain,PER,23.0,HARD,11.0,23.652866242038222,96.249
Bahrain,PER,24.0,HARD,12.0,23.652866242038222,96.211
Bahrain,PER,25.0,HARD,13.0,23.652866242038222,96.344
Bahrain,PER,26.0,HARD,14.0,23.652866242038222,96.347
Bahrain,PER,27.0,HARD,15.0,23.652866242038222,96.233
Bahrain,PER,28.0,HARD,16.0,23.652866242038222,96.226
Bahrain,PER,29.0,HARD,17.0,23.652866242038222,96.437
Bahrain,PER,30.0,HARD,18.0,23.652866242038222,96.313
Bahrain,PER,31.0,HARD,19.0,23.652866242038222,96.339
Bahrain,PER,32.0,HARD,20.0,23.652866242038222,96.276
Bahrain,PER,33.0,HARD,21.0,23.652866242038222,96.564
Bahrain,PER,34.0,HARD,22.0,23.652866242038222,96.378
Bahrain,PER,35.0,HARD,23.0,23.652866242038222,96.776
Bahrain,PER,36.0,HARD,24.0,23.652866242038222,99.365
Bahrain,PER,37.0,SOFT,1.0,23.652866242038222,115.808
Bahrain,PER,38.0,SOFT,2.0,23.652866242038222,94.804
Bahrain,PER,39.0,SOFT,3.0,23.652866242038222,94.607
Bahrain,PER,40.0,SOFT,4.0,23.652866242038222,94.364
Bahrain,PER,41.0,SOFT,5.0,23.652866242038222,94.4
Bahrain,PER,42.0,SOFT,6.0,23.652866242038222,94.525
Bahrain,PER,43.0,SOFT,7.0,23.652866242038222,94.797
Bahrain,PER,44.0,SOFT,8.0,23.652866242038222,94.799
Bahrain,PER,45.0,SOFT,9.0,23.652866242038222,94.592
Bahrain,PER,46.0,SOFT,10.0,23.652866242038222,94.844
Bahrain,PER,47.0,SOFT,11.0,23.652866242038222,94.73
Bahrain,PER,48.0,SOFT,12.0,23.652866242038222,94.885
Bahrain,PER,49.0,SOFT,13.0,23.652866242038222,94.966
Bahrain,PER,50.0,SOFT,14.0,23.652866242038222,95.082
Bahrain,PER,51.0,SOFT,15.0,23.652866242038222,94.94
Bahrain,PER,52.0,SOFT,16.0,23.652866242038222,95.183
Bahrain,PER,53.0,SOFT,17.0,23.652866242038222,95.842
Bahrain,PER,54.0,SOFT,18.0,23.652866242038222,95.459
Bahrain,PER,55.0,SOFT,19.0,23.652866242038222,95.611
Bahrain,PER,56.0,SOFT,20.0,23.652866242038222,95.568
Bahrain,PER,57.0,SOFT,21.0,23.652866242038222,95.746
Bahrain,SAI,2.0,SOFT,5.0,23.652866242038222,97.236
Bahrain,SAI,3.0,SOFT,6.0,23.652866242038222,97.08
Bahrain,SAI,4.0,SOFT,7.0,23.652866242038222,97.264
Bahrain,SAI,5.0,SOFT,8.0,23.652866242038222,98.032
Bahrain,SAI,6.0,SOFT,9.0,23.652866242038222,97.741
Bahrain,SAI,7.0,SOFT,10.0,23.652866242038222,98.26
Bahrain,SAI,8.0,SOFT,11.0,23.652866242038222,98.183
Bahrain,SAI,9.0,SOFT,12.0,23.652866242038222,98.03
Bahrain,SAI,11.0,SOFT,14.0,23.652866242038222,97.656
Bahrain,SAI,12.0,SOFT,15.0,23.652866242038222,97.65
Bahrain,SAI,13.0,SOFT,16.0,23.652866242038222,97.243
Bahrain,SAI,14.0,SOFT,17.0,23.652866242038222,99.753
Bahrain,SAI,15.0,HARD,1.0,23.652866242038222,117.225
Bahrain,SAI,16.0,HARD,2.0,23.652866242038222,96.376
Bahrain,SAI,17.0,HARD,3.0,23.652866242038222,95.507
Bahrain,SAI,18.0,HARD,4.0,23.652866242038222,96.088
Bahrain,SAI,19.0,HARD,5.0,23.652866242038222,96.236
Bahrain,SAI,20.0,HARD,6.0,23.652866242038222,96.034
Bahrain,SAI,21.0,HARD,7.0,23.652866242038222,96.104
Bahrain,SAI,22.0,HARD,8.0,23.652866242038222,96.008
Bahrain,SAI,23.0,HARD,9.0,23.652866242038222,96.149
Bahrain,SAI,24.0,HARD,10.0,23.652866242038222,96.2
Bahrain,SAI,25.0,HARD,11.0,23.652866242038222,96.22
Bahrain,SAI,26.0,HARD,12.0,23.652866242038222,96.221
Bahrain,SAI,27.0,HARD,13.0,23.652866242038222,96.272
Bahrain,SAI,28.0,HARD,14.0,23.652866242038222,96.534
Bahrain,SAI,29.0,HARD,15.0,23.652866242038222,96.6
Bahrain,SAI,30.0,HARD,16.0,23.652866242038222,96.337
