GrandPrix,LapNumber,Compound,TyreLife,TrackTemp,LapTime_Seconds
Bahrain,2.0,SOFT,5.0,23.652866242038222,96.296
Bahrain,3.0,SOFT,6.0,23.652866242038222,96.753
Bahrain,4.0,SOFT,7.0,23.652866242038222,96.647
Bahrain,5.0,SOFT,8.0,23.652866242038222,97.173
Bahrain,6.0,SOFT,9.0,23.652866242038222,97.092
Bahrain,7.0,SOFT,10.0,23.652866242038222,97.038
Bahrain,8.0,SOFT,11.0,23.652866242038222,97.024
Bahrain,9.0,SOFT,12.0,23.652866242038222,97.229
Bahrain,12.0,SOFT,15.0,23.652866242038222,97.045
Bahrain,13.0,SOFT,16.0,23.652866242038222,97.03
Bahrain,14.0,SOFT,17.0,23.652866242038222,97.028
Bahrain,15.0,SOFT,18.0,23.652866242038222,97.011
Bahrain,16.0,SOFT,19.0,23.652866242038222,97.168
Bahrain,17.0,SOFT,20.0,23.652866242038222,99.896
Bahrain,18.0,HARD,1.0,23.652866242038222,117.854
Bahrain,19.0,HARD,2.0,23.652866242038222,95.283
Bahrain,20.0,HARD,3.0,23.652866242038222,95.16
Bahrain,21.0,HARD,4.0,23.652866242038222,95.316
Bahrain,22.0,HARD,5.0,23.652866242038222,95.204
Bahrain,23.0,HARD,6.0,23.652866242038222,95.216
Bahrain,24.0,HARD,7.0,23.652866242038222,95.289
Bahrain,25.0,HARD,8.0,23.652866242038222,95.342
Bahrain,26.0,HARD,9.0,23.652866242038222,95.223
Bahrain,27.0,HARD,10.0,23.652866242038222,95.581
Bahrain,28.0,HARD,11.0,23.652866242038222,95.477
Bahrain,29.0,HARD,12.0,23.652866242038222,95.793
Bahrain,30.0,HARD,13.0,23.652866242038222,95.771
Bahrain,31.0,HARD,14.0,23.652866242038222,95.679
Bahrain,32.0,HARD,15.0,23.652866242038222,95.886
Bahrain,33.0,HARD,16.0,23.652866242038222,95.863
Bahrain,34.0,HARD,17.0,23.652866242038222,96.133
Bahrain,35.0,HARD,18.0,23.652866242038222,96.018
Bahrain,36.0,HARD,19.0,23.652866242038222,96.205
Bahrain,37.0,HARD,20.0,23.652866242038222,99.234
Bahrain,38.0,SOFT,1.0,23.652866242038222,116.445
Bahrain,39.0,SOFT,2.0,23.652866242038222,92.608
